Seed: 1 	Score: 9.917234 	Run time: 0.046843
Seed: 2 	Score: 39.084253 	Run time: 0.062468
Seed: 3 	Score: 1577.221744 	Run time: 120.218156
Seed: 4 	Score: 1208.861481 	Run time: 20.032255
Seed: 5 	Score: 1022.490713 	Run time: 20.094966
Seed: 6 	Score: 161.988327 	Run time: 19.917173
Seed: 7 	Score: 1157.554419 	Run time: 119.952407
Seed: 8 	Score: 388.546839 	Run time: 9.636858
Seed: 9 	Score: 68.232924 	Run time: 0.343722
Seed: 10 	Score: 51.419109 	Run time: 9.550796
Seed: 11 	Score: 228.893624 	Run time: 59.620642
Seed: 12 	Score: 111.191648 	Run time: 119.926780
Seed: 13 	Score: 944.197138 	Run time: 120.049063
Seed: 14 	Score: 18.736792 	Run time: 9.905018
Seed: 15 	Score: 1655.555066 	Run time: 120.173470
Seed: 16 	Score: 55.187243 	Run time: 9.582841
Seed: 17 	Score: 353.784351 	Run time: 120.001671
Seed: 18 	Score: 2177.601978 	Run time: 120.149135
Seed: 19 	Score: 746.584808 	Run time: 119.950994
Seed: 20 	Score: 96.995900 	Run time: 120.122096
Seed: 21 	Score: 769.156673 	Run time: 9.946046
Seed: 22 	Score: 845.422651 	Run time: 59.721850
Seed: 23 	Score: 188.614980 	Run time: 119.969022
Seed: 24 	Score: 278.901493 	Run time: 9.910000
Seed: 25 	Score: 78.065101 	Run time: 120.004672
Seed: 26 	Score: 435.244596 	Run time: 9.674865
Seed: 27 	Score: 5.122502 	Run time: 0.328131
Seed: 28 	Score: 1565.113861 	Run time: 9.721923
Seed: 29 	Score: 908.508896 	Run time: 120.110682
Seed: 30 	Score: 2.601590 	Run time: 0.062450
Seed: 31 	Score: 630.170708 	Run time: 120.108107
Seed: 32 	Score: 1182.034489 	Run time: 120.012038
Seed: 33 	Score: 625.863732 	Run time: 120.017041
Seed: 34 	Score: 1309.178992 	Run time: 10.008091
Seed: 35 	Score: 13.847956 	Run time: 9.883002
Seed: 36 	Score: 1930.474799 	Run time: 120.163143
Seed: 37 	Score: 1035.100097 	Run time: 9.811002
Seed: 38 	Score: 8.523482 	Run time: 119.895186
Seed: 39 	Score: 18.728338 	Run time: 119.986432
Seed: 40 	Score: 605.891832 	Run time: 119.904961
Seed: 41 	Score: 2661.149532 	Run time: 60.045904
Seed: 42 	Score: 1022.592102 	Run time: 59.838288
Seed: 43 	Score: 1382.625901 	Run time: 120.068079
Seed: 44 	Score: 1707.952144 	Run time: 9.755256
Seed: 45 	Score: 342.402058 	Run time: 119.973011
Seed: 46 	Score: 79.516119 	Run time: 119.984233
Seed: 47 	Score: 630.345976 	Run time: 10.088150
Seed: 48 	Score: 82.776830 	Run time: 9.587824
Seed: 49 	Score: 72.132338 	Run time: 0.343753
