Seed: 1 	Score: 0.800000 	Run time: 0.016511
Seed: 2 	Score: 0.909091 	Run time: 19.036027
Seed: 3 	Score: 0.890909 	Run time: 2.073974
Seed: 4 	Score: 0.796610 	Run time: 19.039923
Seed: 5 	Score: 0.803644 	Run time: 6.235869
Seed: 6 	Score: 0.779661 	Run time: 19.043044
Seed: 7 	Score: 0.823529 	Run time: 19.096204
Seed: 8 	Score: 0.770588 	Run time: 19.072554
Seed: 9 	Score: 0.818598 	Run time: 19.055469
Seed: 10 	Score: 0.923077 	Run time: 19.036797
Seed: 11 	Score: 0.756757 	Run time: 19.030526
Seed: 12 	Score: 0.873596 	Run time: 19.053086
Seed: 13 	Score: 0.923077 	Run time: 19.038135
Seed: 14 	Score: 0.777174 	Run time: 19.062295
Seed: 15 	Score: 0.833333 	Run time: 19.039606
Seed: 16 	Score: 0.818182 	Run time: 19.057777
Seed: 17 	Score: 0.783410 	Run time: 19.049415
Seed: 18 	Score: 0.757937 	Run time: 19.075809
Seed: 19 	Score: 0.733333 	Run time: 19.073640
Seed: 20 	Score: 0.852041 	Run time: 19.038722
Seed: 21 	Score: 0.801939 	Run time: 19.052875
Seed: 22 	Score: 0.790698 	Run time: 19.031228
Seed: 23 	Score: 0.826816 	Run time: 1.929918
Seed: 24 	Score: 0.738683 	Run time: 4.554237
Seed: 25 	Score: 0.741935 	Run time: 19.095668
Seed: 26 	Score: 0.852459 	Run time: 19.031600
Seed: 27 	Score: 0.700000 	Run time: 0.107576
Seed: 28 	Score: 0.848249 	Run time: 19.044704
Seed: 29 	Score: 0.909091 	Run time: 19.029567
Seed: 30 	Score: 0.833333 	Run time: 19.041800
Seed: 31 	Score: 0.944444 	Run time: 19.040248
Seed: 32 	Score: 0.845161 	Run time: 19.042157
Seed: 33 	Score: 0.681416 	Run time: 19.030251
Seed: 34 	Score: 0.709877 	Run time: 19.039170
Seed: 35 	Score: 0.848837 	Run time: 19.035439
Seed: 36 	Score: 0.880952 	Run time: 19.038226
Seed: 37 	Score: 0.787938 	Run time: 14.833043
Seed: 38 	Score: 0.750000 	Run time: 19.044891
Seed: 39 	Score: 0.700431 	Run time: 19.047511
Seed: 40 	Score: 0.770492 	Run time: 2.908604
Seed: 41 	Score: 0.816176 	Run time: 0.584915
Seed: 42 	Score: 0.843137 	Run time: 19.037798
Seed: 43 	Score: 0.843137 	Run time: 19.039528
Seed: 44 	Score: 0.611111 	Run time: 19.036308
Seed: 45 	Score: 0.683673 	Run time: 19.040232
Seed: 46 	Score: 0.767974 	Run time: 19.051760
Seed: 47 	Score: 0.878788 	Run time: 19.032119
Seed: 48 	Score: 0.834286 	Run time: 15.448000
Seed: 49 	Score: 0.864865 	Run time: 8.653151
Seed: 50 	Score: 0.822878 	Run time: 19.058438
Seed: 51 	Score: 0.890625 	Run time: 19.028729
Seed: 52 	Score: 0.749049 	Run time: 23.769487
Seed: 53 	Score: 0.950000 	Run time: 19.035656
Seed: 54 	Score: 0.838983 	Run time: 19.035546
Seed: 55 	Score: 0.825581 	Run time: 19.032192
Seed: 56 	Score: 0.950000 	Run time: 19.037137
Seed: 57 	Score: 0.793651 	Run time: 19.035756
Seed: 58 	Score: 0.914894 	Run time: 19.032509
Seed: 59 	Score: 0.776358 	Run time: 13.963437
Seed: 60 	Score: 0.883721 	Run time: 19.040455
Seed: 61 	Score: 0.759036 	Run time: 19.035299
Seed: 62 	Score: 0.815603 	Run time: 19.055729
Seed: 63 	Score: 0.884615 	Run time: 19.037879
Seed: 64 	Score: 0.773756 	Run time: 4.852632
Seed: 65 	Score: 0.846429 	Run time: 19.087522
Seed: 66 	Score: 0.857143 	Run time: 19.046764
Seed: 67 	Score: 0.738916 	Run time: 19.107797
Seed: 68 	Score: 0.770833 	Run time: 19.035627
Seed: 69 	Score: 0.860215 	Run time: 19.049114
Seed: 70 	Score: 0.821429 	Run time: 19.036957
Seed: 71 	Score: 0.866667 	Run time: 19.037345
Seed: 72 	Score: 0.914286 	Run time: 19.032393
Seed: 73 	Score: 0.857143 	Run time: 4.030368
Seed: 74 	Score: 0.897436 	Run time: 19.044712
Seed: 75 	Score: 0.795699 	Run time: 3.104002
Seed: 76 	Score: 0.876543 	Run time: 19.035582
Seed: 77 	Score: 0.866667 	Run time: 19.034512
Seed: 78 	Score: 0.813869 	Run time: 19.044738
Seed: 79 	Score: 0.706186 	Run time: 2.831512
Seed: 80 	Score: 0.817618 	Run time: 10.977254
Seed: 81 	Score: 0.778226 	Run time: 1.515077
Seed: 82 	Score: 0.689526 	Run time: 19.060507
Seed: 83 	Score: 0.792453 	Run time: 19.029111
Seed: 84 	Score: 0.935484 	Run time: 19.030399
Seed: 85 	Score: 0.833333 	Run time: 19.042541
Seed: 86 	Score: 0.833333 	Run time: 19.031162
Seed: 87 	Score: 0.864198 	Run time: 0.767545
Seed: 88 	Score: 0.812734 	Run time: 19.053622
Seed: 89 	Score: 0.847619 	Run time: 19.059907
Seed: 90 	Score: 0.841772 	Run time: 19.037410
Seed: 91 	Score: 0.809524 	Run time: 19.034390
Seed: 92 	Score: 0.707650 	Run time: 30.583787
Seed: 93 	Score: 0.839506 	Run time: 19.044577
Seed: 94 	Score: 0.803571 	Run time: 19.031059
Seed: 95 	Score: 0.856000 	Run time: 10.933293
Seed: 96 	Score: 0.822857 	Run time: 19.067144
Seed: 97 	Score: 0.835000 	Run time: 19.035382
Seed: 98 	Score: 0.900000 	Run time: 19.037265
Seed: 99 	Score: 0.828125 	Run time: 19.045756
Seed: 100 	Score: 0.805825 	Run time: 19.047252
Seed: 110 	Score: 0.055102 	Run time: 0.087067
Seed: 123 	Score: 0.434524 	Run time: 1.092904
Seed: 127 	Score: 0.511111 	Run time: 0.060046
Seed: 19910423 	Score: 0.773913 	Run time: 1.707214
Seed: 19910424 	Score: 0.888889 	Run time: 0.071050
Seed: 19910425 	Score: 0.885714 	Run time: 0.172624
Seed: 19910426 	Score: 0.711538 	Run time: 7.048517
Seed: 19910427 	Score: 0.620536 	Run time: 1.773264
Seed: 19910428 	Score: 0.864686 	Run time: 12.606990
Seed: 19910429 	Score: 0.497669 	Run time: 26.361008
Seed: 19910430 	Score: 0.779255 	Run time: 10.290324
Seed: 19910431 	Score: 0.813559 	Run time: 1.188078
Seed: 19910432 	Score: 0.803922 	Run time: 0.593422
Seed: 19910433 	Score: 0.772059 	Run time: 8.837294
Seed: 19910434 	Score: 0.785714 	Run time: 0.211650
Seed: 19910435 	Score: 0.677215 	Run time: 2.647510
Seed: 19910436 	Score: 0.765734 	Run time: 1.560109
Seed: 19910437 	Score: 0.848375 	Run time: 14.111429
Seed: 19910438 	Score: 0.777778 	Run time: 0.773595
Seed: 19910439 	Score: 0.787500 	Run time: 0.784110
Seed: 19910440 	Score: 0.813665 	Run time: 7.029435
Seed: 19910441 	Score: 0.823529 	Run time: 0.077561
Seed: 19910442 	Score: 0.698276 	Run time: 1.464691
Seed: 19910443 	Score: 0.814516 	Run time: 0.455323
Seed: 19910444 	Score: 0.789668 	Run time: 13.921405
Seed: 19910445 	Score: 0.703125 	Run time: 0.231164
Seed: 19910446 	Score: 0.618182 	Run time: 1.046656
Seed: 19910447 	Score: 0.717105 	Run time: 0.259754
Seed: 19910448 	Score: 0.687500 	Run time: 0.088062
Seed: 19910449 	Score: 0.596154 	Run time: 0.313227
Seed: 19910450 	Score: 0.785714 	Run time: 0.258183
Seed: 19910451 	Score: 0.774809 	Run time: 2.755525
Seed: 19910452 	Score: 0.738636 	Run time: 0.439370
Seed: 19910453 	Score: 0.777778 	Run time: 0.364472
Seed: 19910454 	Score: 0.857143 	Run time: 0.098069
Seed: 19910455 	Score: 0.583333 	Run time: 0.068048
Seed: 19910456 	Score: 0.695122 	Run time: 0.449321
Seed: 19910457 	Score: 0.655678 	Run time: 12.867467
Seed: 19910458 	Score: 0.693333 	Run time: 0.820629
Seed: 19910459 	Score: 0.571429 	Run time: 0.159613
Seed: 19910460 	Score: 0.810502 	Run time: 10.004941
Seed: 19910461 	Score: 0.864407 	Run time: 0.676995
