Seed,Fine,Salary,Score
10001,5604186,1210547,6814733
10002,5184918,3229550,8414468
10003,1582504,4395675,5978179
10004,10778040,2683348,13461388
10005,196992,1154516,1351508
10006,1278192,619120,1897312
10007,7329616,4707140,12036756
10008,330764,1302815,1633579
10009,3585810,844537,4430347
10010,2418174,2403456,4821630
10011,328560,810216,1138776
10012,1198467,1975589,3174056
10013,2369414,4866156,7235570
10014,1531008,2288594,3819602
10015,1640160,2100322,3740482
10016,13246176,3302906,16549082
10017,1104275,1819035,2923310
10018,17971210,5201972,23173182
10019,4223544,1002576,5226120
10020,1476860,1259928,2736788
10021,1983520,615489,2599009
10022,5285896,806246,6092142
10023,239304,1723256,1962560
10024,5785840,1147986,6933826
10025,929250,1778535,2707785
10026,2271434,3137904,5409338
10027,1366848,2967705,4334553
10028,9702221,4816140,14518361
10029,4406800,3538809,7945609
10030,7379204,5559590,12938794
10031,3516955,3268704,6785659
10032,6516720,1494801,8011521
10033,7656126,3272708,10928834
10034,3700440,3269430,6969870
10035,9419319,3927152,13346471
10036,1228096,604002,1832098
10037,5275160,1822776,7097936
10038,2029152,5136348,7165500
10039,515218,1001475,1516693
10040,1458282,2876419,4334701
10041,2464275,1267440,3731715
10042,2372104,825600,3197704
10043,282636,1273918,1556554
10044,452789,292666,745455
10045,3312738,2761200,6073938
10046,11838960,1550088,13389048
10047,1059471,843640,1903111
10048,2433564,2165296,4598860
10049,2935936,713100,3649036
10050,589176,2795130,3384306
10051,1224460,2611346,3835806
10052,3125556,2785722,5911278
10053,1302570,979758,2282328
10054,1695330,2610420,4305750
10055,3011245,1575898,4587143
10056,1767220,4463070,6230290
10057,1660980,431190,2092170
10058,2992860,2609750,5602610
10059,2473406,2942912,5416318
10060,4021381,756236,4777617
10061,1065705,4214165,5279870
10062,2280404,759510,3039914
10063,2159746,2564606,4724352
10064,2851588,2288858,5140446
10065,4366162,1320880,5687042
10066,7498530,2020050,9518580
10067,1464684,1607628,3072312
10068,7689604,2857980,10547584
10069,1296460,2426900,3723360
10070,1930976,1229920,3160896
10071,542470,1335480,1877950
10072,3170906,1549215,4720121
10073,4680204,3441556,8121760
10074,6387800,446730,6834530
10075,3525665,3412227,6937892
10076,2701263,2445520,5146783
10077,4869482,963616,5833098
10078,5268771,2684759,7953530
10079,1345480,2976795,4322275
10080,1950198,3810223,5760421
10081,3939680,2609166,6548846
10082,2839232,983799,3823031
10083,852808,1662975,2515783
10084,6076600,1979273,8055873
10085,1891989,2204434,4096423
10086,259380,604016,863396
10087,3791450,1102624,4894074
10088,2997032,3380760,6377792
10089,6626169,1007064,7633233
10090,12659396,1560408,14219804
10091,1163132,506682,1669814
10092,1076944,1124501,2201445
