Seed,Fine,Salary,Score
10001,2996028,1931141,4927169
10002,3588273,3695450,7283723
10003,2243248,2222328,4465576
10004,4951219,4525536,9476755
10005,508128,505324,1013452
10006,855144,750140,1605284
10007,5438314,5203088,10641402
10008,580692,578143,1158835
10009,1728204,1367718,3095922
10010,2159223,2119920,4279143
10011,409752,444672,854424
10012,1515887,1449987,2965874
10013,2724534,2745924,5470458
10014,1621836,1611512,3233348
10015,1409904,2081578,3491482
10016,5857884,5854414,11712298
10017,1303350,1240020,2543370
10018,9677675,8079788,17757463
10019,1669564,1763400,3432964
10020,1252097,1174029,2426126
10021,1081960,1054368,2136328
10022,2832500,1346618,4179118
10023,511056,510340,1021396
10024,2692288,2635335,5327623
10025,1252118,1247400,2499518
10026,2638284,2780536,5418820
10027,1784628,1783560,3568188
10028,6413146,5778444,12191590
10029,3208320,3804732,7013052
10030,5777002,5574790,11351792
10031,2749636,3185568,5935204
10032,2752092,2730267,5482359
10033,4277508,4174634,8452142
10034,3033660,3474450,6508110
10035,5490667,5518688,11009355
10036,579072,1309014,1888086
10037,2600530,2469429,5069959
10038,2717151,2658516,5375667
10039,626516,631395,1257911
10040,1444212,2303483,3747695
10041,1482219,1418640,2900859
10042,1525832,1180700,2706532
10043,517956,518107,1036063
10044,350132,355531,705663
10045,2481102,2330220,4811322
10046,4361760,3200220,7561980
10047,907582,860615,1768197
10048,1645224,2586808,4232032
10049,1387840,1167620,2555460
10050,1220478,1255230,2475708
10051,1514040,1510268,3024308
10052,2659860,2630691,5290551
10053,1061730,1068851,2130581
10054,1786365,1771680,3558045
10055,1985630,1944042,3929672
10056,2347870,2322768,4670638
10057,763344,705825,1469169
10058,2477700,2477109,4954809
10059,2465385,2452968,4918353
10060,1292159,1946958,3239117
10061,1757269,1751335,3508604
10062,1175944,1155810,2331754
10063,2095438,2118008,4213446
10064,2166426,2519726,4686152
10065,2399084,2049150,4448234
10066,3736800,3699700,7436500
10067,1389818,1247958,2637776
10068,3842308,4481948,8324256
10069,1544345,1547900,3092245
10070,1362944,1501984,2864928
10071,557810,856995,1414805
10072,2457278,1783170,4240448
10073,3625778,3483110,7108888
10074,2097448,1332050,3429498
